simulated t4;measured t4
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
6.0;6.0
