simulated y1;measured y1
6.0;6.0
5.9890427084799995;6.0
5.978399884795596;6.0
5.967969644726594;6.0
5.957693979541832;6.0
5.9475396782912675;6.0
5.9374949717282455;6.0
5.927552191701315;6.0
5.917704248612137;6.0
5.90794659718925;6.0
5.898272517609083;6.0
5.888676189376804;6.0
5.8791517682903605;6.0
5.869695532952532;6.0
5.860305081926928;6.0
5.850978827171474;6.0
5.841720132293918;6.0
5.832535061498804;6.0
5.823419706885967;6.0
5.814371411465234;6.0
5.805388267948371;6.0
5.796468819915942;6.0
5.78761188391476;6.0
5.77880814205785;6.0
5.770069585440053;6.0
5.761399975113903;6.0
5.752794328394864;6.0
5.744249737803292;6.0
5.735765208459744;6.0
5.727339688135814;6.0
5.718972089285419;5.5
5.710660719946678;5.5
5.702399971836736;5.5
5.6941873320768925;5.5
5.68602296637454;5.5
5.6779133957200525;5.5
5.669857341285858;5.5
5.661851960445935;5.5
5.65389503229609;5.5
5.645986559648814;5.5
5.638126582392638;5.5
5.630314373070067;5.5
5.622548896021422;5.5
5.61482920470289;5.5
5.607154403608798;5.5
5.599523626657145;5.5
5.5919360249718535;5.5
5.584390759999498;5.5
5.576886999632654;5.5
5.569423916011593;5.5
5.562000741003661;5.5
5.5546171138025855;5.5
5.54727267607654;5.5
5.539966378924905;5.5
5.53269705675637;5.5
5.52546359011412;5.5
5.518264895317547;5.5
5.5110999146147694;5.5
5.503967607729923;5.5
5.4968674432066535;5.5
5.489801316821882;5.5
5.482770666159964;5.5
5.475776566370098;5.5
5.468819811065439;5.5
5.461900978419383;5.5
5.455020483765836;5.5
5.448177238676669;5.5
5.441369736393094;5.5
5.434596834505189;5.5
5.4278576432677275;5.5
5.421123370130415;5.5
5.4143999422678375;5.5
5.407694850858283;5.5
5.4010136056488625;5.5
5.394360230842996;5.5
5.387737645100234;5.5
5.381147950311115;5.5
5.374585801985763;5.5
5.368037386873449;5.5
5.361511084785461;5.5
5.355013020971453;5.5
5.348547628419737;5.5
5.342118081520907;5.5
5.335707064589929;5.5
5.3292974044185915;5.5
5.322886909374932;5.5
5.316503548799414;5.5
5.310169948894099;5.5
5.303865336366665;5.5
5.297575105620718;5.5
5.291303672578707;5.5
5.285056121942105;5.5
5.278836053442753;5.5
5.272646000232089;5.5
5.2664877331834745;5.5
5.260362481009033;5.5
5.254271088590283;5.5
5.248214130222372;5.5
5.2421786460154065;5.5
5.2361544052123;5.5
5.230133979916585;5.5
5.22411239555767;5.1
5.218086677288627;5.1
5.212054166409478;5.1
5.206052895409344;5.1
5.200096527466243;5.1
5.194186839625443;5.1
5.188324953162903;5.1
5.182511524518337;5.1
5.17674148500034;5.1
5.171004814315138;5.1
5.165294866356245;5.1
5.159607188761221;5.1
5.153938756065313;5.1
5.148287471478713;5.1
5.142651843079392;5.1
5.137030773259013;5.1
5.131423421728932;5.1
5.12582911632486;5.1
5.120247294887427;5.1
5.114677467358429;5.1
5.109119191036363;5.1
5.103572054403795;5.1
5.098035666541707;5.1
5.0925096501888625;5.1
5.086993637180138;5.1
5.081487265439005;5.1
5.0759901769860365;5.1
5.0705020166121235;5.1
5.065022430986994;5.1
5.059551068052489;5.1
5.054090619640849;5.1
5.048645223447393;5.1
5.043217629102098;5.1
5.037809654694526;5.1
5.0324224945129075;5.1
5.02705692605305;5.1
5.021713448965561;5.1
5.016392378112231;5.1
5.011093905746937;5.1
5.0058181429709565;5.1
5.000565147307134;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
5.0;5.1
