SCENARIO 0

date;t1;t2;t3;t4;t5;t6;t7

2023-12-17 13:50;;;;5.1;;;8.8
2023-12-17 13:55;;;;5.1;;;8.8
2023-12-17 14:00;;;;5.1;;;8.8
2023-12-17 14:05;;;;5.1;;;8.8
2023-12-17 14:10;;;;5.1;;;8.8
2023-12-17 14:15;;;;5.1;;;8.8
2023-12-17 14:20;;;;5.1;;;8.8
2023-12-17 14:25;;;;5.1;;;8.8
2023-12-17 14:30;;;;5.1;;;8.8
2023-12-17 14:35;;;;5.1;;;8.8
2023-12-17 14:40;;;;5.1;;;8.8
2023-12-17 14:45;;;;5.1;;;8.8
2023-12-17 14:50;;;;5.1;;;8.8
2023-12-17 14:55;;;;5.1;;;8.8
2023-12-17 15:00;;;;5.1;;;8.8
2023-12-17 15:05;;;;5.1;;;8.8
2023-12-17 15:10;;;;5.1;;;8.8
2023-12-17 15:15;;;;5.1;;;8.8
2023-12-17 15:20;;;;5.1;;;8.8
2023-12-17 15:25;;;;5.1;;;8.8
2023-12-17 15:30;;;;5.1;;;8.8
2023-12-17 15:35;;;;5.1;;;8.8
2023-12-17 15:40;;;;5.1;;;8.8
2023-12-17 15:45;;;;5.1;;;8.8
2023-12-17 15:50;;;;5.1;;;8.8
2023-12-17 15:55;;;;5.1;;;8.8
2023-12-17 16:00;;;;5.1;;;8.8
2023-12-17 16:05;;;;5.1;;;8.8
2023-12-17 16:10;;;;5.1;;;8.8
2023-12-17 16:15;;;;5.1;;;8.8
2023-12-17 16:20;;;;5.1;;;8.8
2023-12-17 16:25;;;;5.1;;;8.8
2023-12-17 16:30;;;;5.1;;;8.8
2023-12-17 16:35;;;;5.1;;;8.8
2023-12-17 16:40;;;;5.1;;;8.8
2023-12-17 16:45;;;;5.1;;;8.8
2023-12-17 16:50;;;;5.1;;;8.8
2023-12-17 16:55;;;;5.1;;;8.8
2023-12-17 17:00;;;;5.1;;;8.8
2023-12-17 17:05;;;;5.1;;;8.8
2023-12-17 17:10;;;;5.1;;;8.8
2023-12-17 17:15;;;;5.1;;;8.8
2023-12-17 17:20;;;;5.1;;;8.8
2023-12-17 17:25;;;;5.1;;;8.8
2023-12-17 17:30;;;;5.1;;;8.8
2023-12-17 17:35;;;;5.1;;;8.8
2023-12-17 17:40;;;;5.1;;;8.8
2023-12-17 17:45;;;;5.1;;;8.8
2023-12-17 17:50;;;;5.1;;;8.8
2023-12-17 17:55;;;;5.6;;;8.8
2023-12-17 18:00;;;;5.6;;;8.8
2023-12-17 18:05;;;;5.6;;;8.8
2023-12-17 18:10;;;;5.6;;;8.8
2023-12-17 18:15;;;;5.6;;;8.8
2023-12-17 18:20;;;;5.6;;;8.8
2023-12-17 18:25;;;;5.6;;;8.8
2023-12-17 18:30;;;;5.6;;;8.8
2023-12-17 18:35;;;;5.6;;;8.8
2023-12-17 18:40;;;;5.6;;;8.8
2023-12-17 18:45;;;;5.6;;;8.8
2023-12-17 18:50;;;;5.6;;;8.8
2023-12-17 18:55;;;;5.6;;;8.8
2023-12-17 19:00;;;;5.6;;;8.8
2023-12-17 19:05;;;;5.6;;;8.8
2023-12-17 19:10;;;;5.6;;;8.8
2023-12-17 19:15;;;;5.6;;;8.8
2023-12-17 19:20;;;;5.6;;;8.8
2023-12-17 19:25;;;;5.6;;;8.8
2023-12-17 19:30;;;;5.6;;;8.8
2023-12-17 19:35;;;;5.6;;;8.8
2023-12-17 19:40;;;;5.6;;;8.8
2023-12-17 19:45;;;;5.6;;;8.8
2023-12-17 19:50;;;;5.6;;;8.8
2023-12-17 19:55;;;;5.6;;;8.8
2023-12-17 20:00;;;;5.6;;;8.8
