SCENARIO 1

date;t1;t2;t3;t4;t5;t6;t7

2023-12-16 20:25;;;;6;-2.2;4.9;8.8
2023-12-16 20:30;;;;6;-2.2;4.897767857;8.8
2023-12-16 20:35;;;;6;-2.2;4.674553572;8.8
2023-12-16 20:40;;;;6;-2.2;4.451339286;8.8
2023-12-16 20:45;;;;6;-2.52352941;4.4;8.8
2023-12-16 20:50;;;;6;-2.80469314;4.4;8.8
2023-12-16 20:55;;;;6;-2.985198555;4.4;8.8
2023-12-16 21:00;;;;6;-3.16570397;4.4;8.8
2023-12-16 21:05;;;;6;-3.2;4.4;8.8
2023-12-16 21:10;;;;6;-3.178033474;4.4;8.8
2023-12-16 21:15;;;;6;-3.073430963;4.4;8.8
2023-12-16 21:20;;;;6;-2.968828453;4.4;8.8
2023-12-16 21:25;;;;6;-2.864225943;4.4;8.8
2023-12-16 21:30;;;;6;-2.759623432;4.4;8.8
2023-12-16 21:35;;;;6;-2.865809764;4.4;8.8
2023-12-16 21:40;;;;6;-3.2;4.327272734;8.8
2023-12-16 21:45;;;;6;-3.2;3.9;8.8
2023-12-16 21:50;;;;6;-3.2;3.9;8.8
2023-12-16 21:55;;;;6;-3.2;3.9;8.8
2023-12-16 22:00;;;;6;-3.2;3.9;8.8
2023-12-16 22:05;;;;6;-3.2;3.9;8.8
2023-12-16 22:10;;;;6;-2.706896541;3.9;8.8
2023-12-16 22:15;;;;6;-3.265420532;3.9;8.8
2023-12-16 22:20;;;;6;-3.7;3.9;8.8
2023-12-16 22:25;;;;6;-3.7;3.9;8.8
2023-12-16 22:30;;;;6;-3.72654867;3.9;8.8
2023-12-16 22:35;;;;6;-3.83274336;3.9;8.8
2023-12-16 22:40;;;;6;-3.93893805;3.9;8.8
2023-12-16 22:45;;;;6;-4.045132741;3.9;8.8
2023-12-16 22:50;;;;6;-4.1;3.9;8.8
2023-12-16 22:55;;;;5.5;-3.754054085;3.9;8.8
2023-12-16 23:00;;;;5.5;-3.443705044;3.9;8.8
2023-12-16 23:05;;;;5.5;-3.268720358;3.9;8.8
2023-12-16 23:10;;;;5.5;-3.942051263;3.9;8.8
2023-12-16 23:15;;;;5.5;-4.1;3.603457459;8.8
2023-12-16 23:20;;;;5.5;-3.992700737;3.4;8.8
2023-12-16 23:25;;;;5.5;-3.773722635;3.4;8.8
2023-12-16 23:30;;;;5.5;-3.816204374;3.4;8.8
2023-12-16 23:35;;;;5.5;-3.991386855;3.4;8.8
2023-12-16 23:40;;;;5.5;-4.120562769;3.4;8.8
2023-12-16 23:45;;;;5.5;-4.174675323;3.4;8.8
2023-12-16 23:50;;;;5.5;-4.228787877;3.4;8.8
2023-12-16 23:55;;;;5.5;-4.282900431;3.4;8.8
2023-12-17 00:00;;;;5.5;-4.337012985;3.4;8.8
2023-12-17 00:05;;;;5.5;-4.391125539;3.4;8.8
2023-12-17 00:10;;;;5.5;-4.445238093;3.4;8.8
2023-12-17 00:15;;;;5.5;-4.499350647;3.4;8.8
2023-12-17 00:20;;;;5.5;-4.553463201;3.4;8.8
2023-12-17 00:25;;;;5.5;-4.6;3.4;8.8
2023-12-17 00:30;;;;5.5;-4.6;3.4;8.8
